year,ncessch,school_name,state_location,grade_crdc,enrl_algebra1,students_passing_algebra1
"2017","060429013779","21st Century Learning Institute","CA","Grades 7 and 8","",""
"2017","060429013779","21st Century Learning Institute","CA","Grades 9 and 10","",""
"2017","060429013779","21st Century Learning Institute","CA","Grades 11 and 12","",""
"2017","060429013779","21st Century Learning Institute","CA","Total","",""
"2017","062827013394","A Place to Grow","CA","Grades 7 and 8","",""
"2017","062827013394","A Place to Grow","CA","Grades 9 and 10","",""
"2017","062827013394","A Place to Grow","CA","Grades 11 and 12","",""
"2017","062827013394","A Place to Grow","CA","Total","",""
"2017","063762002045","Abraham Lincoln Alternative","CA","Grades 7 and 8","1","0"
"2017","063762002045","Abraham Lincoln Alternative","CA","Grades 9 and 10","19","6"
"2017","063762002045","Abraham Lincoln Alternative","CA","Grades 11 and 12","9","6"
"2017","063762002045","Abraham Lincoln Alternative","CA","Total","29","12"
"2017","063315005148","Abraham Lincoln Continuation","CA","Grades 7 and 8","",""
"2017","063315005148","Abraham Lincoln Continuation","CA","Grades 9 and 10","11","9"
"2017","063315005148","Abraham Lincoln Continuation","CA","Grades 11 and 12","20","14"
"2017","063315005148","Abraham Lincoln Continuation","CA","Total","31","23"
"2017","063459005696","Abraham Lincoln High","CA","Grades 7 and 8","",""
"2017","063459005696","Abraham Lincoln High","CA","Grades 9 and 10","312","203"
"2017","063459005696","Abraham Lincoln High","CA","Grades 11 and 12","6","3"
"2017","063459005696","Abraham Lincoln High","CA","Total","318","206"
"2017","062271003139","Abraham Lincoln Senior High","CA","Grades 7 and 8","",""
"2017","062271003139","Abraham Lincoln Senior High","CA","Grades 9 and 10","287","186"
"2017","062271003139","Abraham Lincoln Senior High","CA","Grades 11 and 12","7","6"
"2017","062271003139","Abraham Lincoln Senior High","CA","Total","294","192"
"2017","063153004883","Abraxas Continuation High","CA","Grades 7 and 8","",""
"2017","063153004883","Abraxas Continuation High","CA","Grades 9 and 10","3","3"
"2017","063153004883","Abraxas Continuation High","CA","Grades 11 and 12","31","31"
"2017","063153004883","Abraxas Continuation High","CA","Total","34","34"
"2017","062271013079","Acad for Multilingual Arts and Sci at Mervyn M. Dymally High","CA","Grades 7 and 8","",""
"2017","062271013079","Acad for Multilingual Arts and Sci at Mervyn M. Dymally High","CA","Grades 9 and 10","212","120"
"2017","062271013079","Acad for Multilingual Arts and Sci at Mervyn M. Dymally High","CA","Grades 11 and 12","19","10"
"2017","062271013079","Acad for Multilingual Arts and Sci at Mervyn M. Dymally High","CA","Total","231","130"
"2017","060143510895","Academia Avance Charter","CA","Grades 7 and 8","",""
"2017","060143510895","Academia Avance Charter","CA","Grades 9 and 10","67","46"
"2017","060143510895","Academia Avance Charter","CA","Grades 11 and 12","2","2"
"2017","060143510895","Academia Avance Charter","CA","Total","69","48"
"2017","062271013040","Academies of Education and Empowerment at Carson High","CA","Grades 7 and 8","",""
"2017","062271013040","Academies of Education and Empowerment at Carson High","CA","Grades 9 and 10","125","97"
"2017","062271013040","Academies of Education and Empowerment at Carson High","CA","Grades 11 and 12","0","0"
"2017","062271013040","Academies of Education and Empowerment at Carson High","CA","Total","125","97"
"2017","060282013154","Academies of the Antelope Valley","CA","Grades 7 and 8","67","0"
"2017","060282013154","Academies of the Antelope Valley","CA","Grades 9 and 10","21","0"
"2017","060282013154","Academies of the Antelope Valley","CA","Grades 11 and 12","3","0"
"2017","060282013154","Academies of the Antelope Valley","CA","Total","91","0"
"2017","063441012526","Academy (The)- SF @McAteer","CA","Grades 7 and 8","",""
"2017","063441012526","Academy (The)- SF @McAteer","CA","Grades 9 and 10","95","68"
"2017","063441012526","Academy (The)- SF @McAteer","CA","Grades 11 and 12","2","1"
"2017","063441012526","Academy (The)- SF @McAteer","CA","Total","97","69"
"2017","060001707296","Academy for Academic Excellence","CA","Grades 7 and 8","",""
"2017","060001707296","Academy for Academic Excellence","CA","Grades 9 and 10","111","88"
"2017","060001707296","Academy for Academic Excellence","CA","Grades 11 and 12","6","6"
"2017","060001707296","Academy for Academic Excellence","CA","Total","117","94"
"2017","060837011853","Academy for Change","CA","Grades 7 and 8","",""
"2017","060837011853","Academy for Change","CA","Grades 9 and 10","7","1"
"2017","060837011853","Academy for Change","CA","Grades 11 and 12","2","0"
"2017","060837011853","Academy for Change","CA","Total","9","1"
"2017","062610013179","Academy of Arts and Sciences: Del Mar","CA","Grades 7 and 8","",""
"2017","062610013179","Academy of Arts and Sciences: Del Mar","CA","Grades 9 and 10","15","2"
"2017","062610013179","Academy of Arts and Sciences: Del Mar","CA","Grades 11 and 12","6","3"
"2017","062610013179","Academy of Arts and Sciences: Del Mar","CA","Total","21","5"
"2017","062853013843","Academy of Arts and Sciences: Fresno","CA","Grades 7 and 8","",""
"2017","062853013843","Academy of Arts and Sciences: Fresno","CA","Grades 9 and 10","4","4"
"2017","062853013843","Academy of Arts and Sciences: Fresno","CA","Grades 11 and 12","0","0"
"2017","062853013843","Academy of Arts and Sciences: Fresno","CA","Total","4","4"
"2017","060000114045","Academy of Arts and Sciences: Los Angeles","CA","Grades 7 and 8","",""
"2017","060000114045","Academy of Arts and Sciences: Los Angeles","CA","Grades 9 and 10","24","2"
"2017","060000114045","Academy of Arts and Sciences: Los Angeles","CA","Grades 11 and 12","3","2"
"2017","060000114045","Academy of Arts and Sciences: Los Angeles","CA","Total","27","4"
"2017","061686012368","Academy of Careers and Exploration","CA","Grades 7 and 8","",""
"2017","061686012368","Academy of Careers and Exploration","CA","Grades 9 and 10","64","61"
"2017","061686012368","Academy of Careers and Exploration","CA","Grades 11 and 12","0","0"
"2017","061686012368","Academy of Careers and Exploration","CA","Total","64","61"
"2017","062271013104","Academy of Medical Arts at Carson High","CA","Grades 7 and 8","",""
"2017","062271013104","Academy of Medical Arts at Carson High","CA","Grades 9 and 10","136","87"
"2017","062271013104","Academy of Medical Arts at Carson High","CA","Grades 11 and 12","0","0"
"2017","062271013104","Academy of Medical Arts at Carson High","CA","Total","136","87"
"2017","064251008517","Academy of the Canyons","CA","Grades 7 and 8","",""
"2017","064251008517","Academy of the Canyons","CA","Grades 9 and 10","60","60"
"2017","064251008517","Academy of the Canyons","CA","Grades 11 and 12","0","0"
"2017","064251008517","Academy of the Canyons","CA","Total","60","60"
"2017","061419010801","Academy of the Redwoods","CA","Grades 7 and 8","",""
"2017","061419010801","Academy of the Redwoods","CA","Grades 9 and 10","51","42"
"2017","061419010801","Academy of the Redwoods","CA","Grades 11 and 12","0","0"
"2017","061419010801","Academy of the Redwoods","CA","Total","51","42"
"2017","060165010751","Acalanes Center for Independent Study","CA","Grades 7 and 8","",""
"2017","060165010751","Acalanes Center for Independent Study","CA","Grades 9 and 10","",""
"2017","060165010751","Acalanes Center for Independent Study","CA","Grades 11 and 12","",""
"2017","060165010751","Acalanes Center for Independent Study","CA","Total","",""
"2017","060165000032","Acalanes High","CA","Grades 7 and 8","",""
"2017","060165000032","Acalanes High","CA","Grades 9 and 10","194","179"
"2017","060165000032","Acalanes High","CA","Grades 11 and 12","4","4"
"2017","060165000032","Acalanes High","CA","Total","198","183"
"2017","064030010552","Accelerated Achievement Academy","CA","Grades 7 and 8","",""
"2017","064030010552","Accelerated Achievement Academy","CA","Grades 9 and 10","13","12"
"2017","064030010552","Accelerated Achievement Academy","CA","Grades 11 and 12","0","0"
"2017","064030010552","Accelerated Achievement Academy","CA","Total","13","12"
"2017","063993013976","Accelerated Charter High","CA","Grades 7 and 8","",""
"2017","063993013976","Accelerated Charter High","CA","Grades 9 and 10","",""
"2017","063993013976","Accelerated Charter High","CA","Grades 11 and 12","",""
"2017","063993013976","Accelerated Charter High","CA","Total","",""
"2017","069102410567","Access County Community","CA","Grades 7 and 8","",""
"2017","069102410567","Access County Community","CA","Grades 9 and 10","134","290"
"2017","069102410567","Access County Community","CA","Grades 11 and 12","124","204"
"2017","069102410567","Access County Community","CA","Total","258","494"
"2017","069102409236","Access Juvenile Hall","CA","Grades 7 and 8","",""
"2017","069102409236","Access Juvenile Hall","CA","Grades 9 and 10","74","317"
"2017","069102409236","Access Juvenile Hall","CA","Grades 11 and 12","99","242"
"2017","069102409236","Access Juvenile Hall","CA","Total","173","559"
"2017","061182013023","ACE Charter High","CA","Grades 7 and 8","",""
"2017","061182013023","ACE Charter High","CA","Grades 9 and 10","139","0"
"2017","061182013023","ACE Charter High","CA","Grades 11 and 12","1","0"
"2017","061182013023","ACE Charter High","CA","Total","140","0"
"2017","063363005189","Adelante High (Continuation)","CA","Grades 7 and 8","",""
"2017","063363005189","Adelante High (Continuation)","CA","Grades 9 and 10","14","7"
"2017","063363005189","Adelante High (Continuation)","CA","Grades 11 and 12","35","22"
"2017","063363005189","Adelante High (Continuation)","CA","Total","49","29"
"2017","060006111814","Adelante High","CA","Grades 7 and 8","",""
"2017","060006111814","Adelante High","CA","Grades 9 and 10","3","2"
"2017","060006111814","Adelante High","CA","Grades 11 and 12","7","3"
"2017","060006111814","Adelante High","CA","Total","10","5"
"2017","063227002047","Adelante High","CA","Grades 7 and 8","",""
"2017","063227002047","Adelante High","CA","Grades 9 and 10","",""
"2017","063227002047","Adelante High","CA","Grades 11 and 12","4","0"
"2017","063227002047","Adelante High","CA","Total","4","0"
"2017","063697212990","Adelanto High","CA","Grades 7 and 8","",""
"2017","063697212990","Adelanto High","CA","Grades 9 and 10","364","2"
"2017","063697212990","Adelanto High","CA","Grades 11 and 12","0","0"
"2017","063697212990","Adelanto High","CA","Total","364","2"
"2017","062927004516","Adolfo Camarillo High","CA","Grades 7 and 8","",""
"2017","062927004516","Adolfo Camarillo High","CA","Grades 9 and 10","420","293"
"2017","062927004516","Adolfo Camarillo High","CA","Grades 11 and 12","41","20"
"2017","062927004516","Adolfo Camarillo High","CA","Total","461","313"
"2017","063543006055","Adrian Wilcox High","CA","Grades 7 and 8","",""
"2017","063543006055","Adrian Wilcox High","CA","Grades 9 and 10","93","110"
"2017","063543006055","Adrian Wilcox High","CA","Grades 11 and 12","33","28"
"2017","063543006055","Adrian Wilcox High","CA","Total","126","138"
"2017","063531013951","Advanced Learning Academy","CA","Grades 7 and 8","",""
"2017","063531013951","Advanced Learning Academy","CA","Grades 9 and 10","13","13"
"2017","063531013951","Advanced Learning Academy","CA","Grades 11 and 12","",""
"2017","063531013951","Advanced Learning Academy","CA","Total","13","13"
"2017","069107812710","Afflerbaugh-Paige Camp","CA","Grades 7 and 8","",""
"2017","069107812710","Afflerbaugh-Paige Camp","CA","Grades 9 and 10","",""
"2017","069107812710","Afflerbaugh-Paige Camp","CA","Grades 11 and 12","",""
"2017","069107812710","Afflerbaugh-Paige Camp","CA","Total","",""
"2017","062271011315","Aggeler Community Day","CA","Grades 7 and 8","",""
"2017","062271011315","Aggeler Community Day","CA","Grades 9 and 10","18","4"
"2017","062271011315","Aggeler Community Day","CA","Grades 11 and 12","11","0"
"2017","062271011315","Aggeler Community Day","CA","Total","29","4"
"2017","062100002518","Agoura High","CA","Grades 7 and 8","",""
"2017","062100002518","Agoura High","CA","Grades 9 and 10","316","182"
"2017","062100002518","Agoura High","CA","Grades 11 and 12","18","1"
"2017","062100002518","Agoura High","CA","Total","334","183"
"2017","060016007902","Ahwahnee High","CA","Grades 7 and 8","",""
"2017","060016007902","Ahwahnee High","CA","Grades 9 and 10","",""
"2017","060016007902","Ahwahnee High","CA","Grades 11 and 12","8","8"
"2017","060016007902","Ahwahnee High","CA","Total","8","8"
"2017","062271012248","Alain Leroy Locke College Preparatory Academy","CA","Grades 7 and 8","",""
"2017","062271012248","Alain Leroy Locke College Preparatory Academy","CA","Grades 9 and 10","361","293"
"2017","062271012248","Alain Leroy Locke College Preparatory Academy","CA","Grades 11 and 12","23","16"
"2017","062271012248","Alain Leroy Locke College Preparatory Academy","CA","Total","384","309"
"2017","060177008673","Alameda Community Learning Center","CA","Grades 7 and 8","22","21"
"2017","060177008673","Alameda Community Learning Center","CA","Grades 9 and 10","47","36"
"2017","060177008673","Alameda Community Learning Center","CA","Grades 11 and 12","3","1"
"2017","060177008673","Alameda Community Learning Center","CA","Total","72","58"
"2017","069105106830","Alameda County Community","CA","Grades 7 and 8","",""
"2017","069105106830","Alameda County Community","CA","Grades 9 and 10","15","6"
"2017","069105106830","Alameda County Community","CA","Grades 11 and 12","34","25"
"2017","069105106830","Alameda County Community","CA","Total","49","31"
"2017","069105109264","Alameda County Juvenile Hall/Court","CA","Grades 7 and 8","",""
"2017","069105109264","Alameda County Juvenile Hall/Court","CA","Grades 9 and 10","20","17"
"2017","069105109264","Alameda County Juvenile Hall/Court","CA","Grades 11 and 12","18","13"
"2017","069105109264","Alameda County Juvenile Hall/Court","CA","Total","38","30"
"2017","060177000041","Alameda High","CA","Grades 7 and 8","",""
"2017","060177000041","Alameda High","CA","Grades 9 and 10","219","183"
"2017","060177000041","Alameda High","CA","Grades 11 and 12","13","8"
"2017","060177000041","Alameda High","CA","Total","232","191"
"2017","060177010547","Alameda Science and Technology Institute","CA","Grades 7 and 8","",""
"2017","060177010547","Alameda Science and Technology Institute","CA","Grades 9 and 10","21","20"
"2017","060177010547","Alameda Science and Technology Institute","CA","Grades 11 and 12","0","0"
"2017","060177010547","Alameda Science and Technology Institute","CA","Total","21","20"
"2017","063432007682","ALBA","CA","Grades 7 and 8","",""
"2017","063432007682","ALBA","CA","Grades 9 and 10","3","2"
"2017","063432007682","ALBA","CA","Grades 11 and 12","0","0"
"2017","063432007682","ALBA","CA","Total","3","2"
"2017","060186000059","Albany High","CA","Grades 7 and 8","",""
"2017","060186000059","Albany High","CA","Grades 9 and 10","285","224"
"2017","060186000059","Albany High","CA","Grades 11 and 12","1","0"
"2017","060186000059","Albany High","CA","Total","286","224"
"2017","062271002976","Albert Einstein Continuation","CA","Grades 7 and 8","",""
"2017","062271002976","Albert Einstein Continuation","CA","Grades 9 and 10","8","1"
"2017","062271002976","Albert Einstein Continuation","CA","Grades 11 and 12","1","0"
"2017","062271002976","Albert Einstein Continuation","CA","Total","9","1"
"2017","064347007028","Albert Powell Continuation","CA","Grades 7 and 8","",""
"2017","064347007028","Albert Powell Continuation","CA","Grades 9 and 10","5","2"
"2017","064347007028","Albert Powell Continuation","CA","Grades 11 and 12","54","13"
"2017","064347007028","Albert Powell Continuation","CA","Total","59","15"
"2017","063735011593","Alder Grove Charter","CA","Grades 7 and 8","1","1"
"2017","063735011593","Alder Grove Charter","CA","Grades 9 and 10","36","36"
"2017","063735011593","Alder Grove Charter","CA","Grades 11 and 12","23","22"
"2017","063735011593","Alder Grove Charter","CA","Total","60","59"
"2017","061692002149","Alessandro High","CA","Grades 7 and 8","",""
"2017","061692002149","Alessandro High","CA","Grades 9 and 10","",""
"2017","061692002149","Alessandro High","CA","Grades 11 and 12","62","30"
"2017","061692002149","Alessandro High","CA","Total","62","30"
"2017","062580011025","Alessandro","CA","Grades 7 and 8","",""
"2017","062580011025","Alessandro","CA","Grades 9 and 10","12","5"
"2017","062580011025","Alessandro","CA","Grades 11 and 12","1","0"
"2017","062580011025","Alessandro","CA","Total","13","5"
"2017","062271003064","Alexander Hamilton Senior High","CA","Grades 7 and 8","",""
"2017","062271003064","Alexander Hamilton Senior High","CA","Grades 9 and 10","578","452"
"2017","062271003064","Alexander Hamilton Senior High","CA","Grades 11 and 12","7","5"
"2017","062271003064","Alexander Hamilton Senior High","CA","Total","585","457"
"2017","062271007762","Alfonso B. Perez Special Education Center","CA","Grades 7 and 8","",""
